
OccupationCode|ExperienceLevel
33-2021.00|Over 6 years, up to and including 8 years
33-2022.00|Over 1 year, up to and including 2 years
33-2022.00|Over 2 years, up to and including 4 years
33-2022.00|Over 4 years, up to and including 6 years
33-2022.00|Over 6 years, up to and including 8 years
33-2022.00|Over 8 years, up to and including 10 years
33-3011.00|None
33-3011.00|Over 1 year, up to and including 2 years
33-3011.00|Over 2 years, up to and including 4 years
33-3011.00|Over 3 months, up to and including 6 months
33-3011.00|Over 6 months, up to and including 1 year
33-3011.00|Up to and including 1 month
33-3012.00|None
33-3012.00|Over 1 year, up to and including 2 years
33-3012.00|Over 6 months, up to and including 1 year
33-3021.00|None
33-3021.00|Over 2 years, up to and including 4 years
33-3021.00|Over 3 months, up to and including 6 months
33-3021.00|Over 4 years, up to and including 6 years
33-3021.00|Over 6 months, up to and including 1 year
33-3021.00|Over 6 years, up to and including 8 years
33-3021.02|None
33-3021.02|Over 2 years, up to and including 4 years
33-3031.00|None
33-3031.00|Over 1 year, up to and including 2 years
33-3031.00|Over 2 years, up to and including 4 years
33-3031.00|Over 4 years, up to and including 6 years
33-3031.00|Over 6 months, up to and including 1 year
33-3031.00|Over 6 years, up to and including 8 years
33-3041.00|None
33-3041.00|Up to and including 1 month
33-3051.00|None
33-3051.00|Over 2 years, up to and including 4 years
33-3051.00|Over 3 months, up to and including 6 months
33-3051.00|Over 6 months, up to and including 1 year
33-3051.04|None
33-3051.04|Over 1 year, up to and including 2 years
33-3051.04|Over 2 years, up to and including 4 years
33-3051.04|Over 3 months, up to and including 6 months
33-3052.00|None
33-3052.00|Over 1 year, up to and including 2 years
33-3052.00|Over 10 years
33-3052.00|Over 2 years, up to and including 4 years
33-3052.00|Over 3 months, up to and including 6 months
33-3052.00|Over 6 months, up to and including 1 year
33-3052.00|Up to and including 1 month
33-9011.00|None
33-9011.00|Over 1 year, up to and including 2 years
33-9011.00|Over 2 years, up to and including 4 years
33-9011.00|Over 3 months, up to and including 6 months
33-9011.00|Up to and including 1 month
33-9021.00|Over 1 year, up to and including 2 years
33-9021.00|Over 10 years
33-9021.00|Over 2 years, up to and including 4 years
33-9021.00|Over 3 months, up to and including 6 months
33-9021.00|Over 4 years, up to and including 6 years
33-9021.00|Over 6 years, up to and including 8 years
33-9031.00|None
33-9031.00|Over 1 year, up to and including 2 years
33-9031.00|Over 6 months, up to and including 1 year
33-9031.00|Over 6 years, up to and including 8 years
33-9032.00|None
33-9032.00|Over 1 year, up to and including 2 years
33-9032.00|Over 3 months, up to and including 6 months
33-9032.00|Over 6 months, up to and including 1 year
33-9091.00|None
33-9091.00|Over 10 years
33-9091.00|Up to and including 1 month
33-9092.00|None
33-9092.00|Over 1 year, up to and including 2 years
33-9092.00|Over 2 years, up to and including 4 years
33-9092.00|Up to and including 1 month
33-9099.02|None
33-9099.02|Over 1 year, up to and including 2 years
33-9099.02|Over 2 years, up to and including 4 years
35-1012.00|None
35-1012.00|Over 1 year, up to and including 2 years
35-1012.00|Over 2 years, up to and including 4 years
35-1012.00|Over 6 months, up to and including 1 year
35-1012.00|Up to and including 1 month
35-2011.00|None
35-2011.00|Up to and including 1 month
35-2012.00|None
35-2012.00|Over 1 month, up to and including 3 months
35-2012.00|Over 1 year, up to and including 2 years
35-2012.00|Over 2 years, up to and including 4 years
35-2012.00|Over 3 months, up to and including 6 months
35-2012.00|Over 6 months, up to and including 1 year
35-2012.00|Up to and including 1 month
35-2014.00|None
35-2014.00|Over 1 month, up to and including 3 months
35-2014.00|Over 1 year, up to and including 2 years
35-2014.00|Over 2 years, up to and including 4 years
35-2014.00|Over 3 months, up to and including 6 months
35-2014.00|Over 6 months, up to and including 1 year
35-2014.00|Up to and including 1 month
35-2015.00|None
35-2015.00|Over 1 year, up to and including 2 years
35-2015.00|Over 3 months, up to and including 6 months
35-2015.00|Over 4 years, up to and including 6 years
35-2015.00|Over 6 months, up to and including 1 year
35-2021.00|None
35-2021.00|Over 1 month, up to and including 3 months
35-2021.00|Over 1 year, up to and including 2 years
35-2021.00|Over 6 months, up to and including 1 year
35-2021.00|Up to and including 1 month
35-3011.00|None
35-3011.00|Over 1 month, up to and including 3 months
35-3011.00|Over 1 year, up to and including 2 years
35-3011.00|Over 2 years, up to and including 4 years
35-3011.00|Over 3 months, up to and including 6 months
35-3011.00|Over 6 months, up to and including 1 year
35-3023.00|None
35-3023.00|Over 1 year, up to and including 2 years
35-3023.00|Over 3 months, up to and including 6 months
35-3023.00|Over 6 months, up to and including 1 year
35-3023.00|Up to and including 1 month
35-3023.01|None
35-3023.01|Over 3 months, up to and including 6 months
35-3023.01|Over 6 months, up to and including 1 year
35-3023.01|Up to and including 1 month
35-3031.00|None
35-3031.00|Over 1 year, up to and including 2 years
35-3031.00|Over 2 years, up to and including 4 years
35-3031.00|Over 3 months, up to and including 6 months
35-3031.00|Over 6 months, up to and including 1 year
35-3031.00|Up to and including 1 month
35-3041.00|None
35-3041.00|Over 1 year, up to and including 2 years
35-3041.00|Over 2 years, up to and including 4 years
35-3041.00|Over 3 months, up to and including 6 months
35-3041.00|Up to and including 1 month
35-9011.00|None
35-9011.00|Over 1 month, up to and including 3 months
35-9011.00|Over 1 year, up to and including 2 years
35-9011.00|Over 3 months, up to and including 6 months
35-9011.00|Up to and including 1 month
35-9021.00|Over 1 month, up to and including 3 months
35-9021.00|Over 1 year, up to and including 2 years
35-9021.00|Over 6 months, up to and including 1 year
35-9031.00|None
35-9031.00|Over 1 month, up to and including 3 months
35-9031.00|Over 3 months, up to and including 6 months
35-9031.00|Over 6 months, up to and including 1 year
35-9031.00|Up to and including 1 month
37-1011.00|None
37-1011.00|Over 1 year, up to and including 2 years
37-1011.00|Over 2 years, up to and including 4 years
37-1011.00|Over 3 months, up to and including 6 months
37-1011.00|Over 6 months, up to and including 1 year
37-1012.00|None
37-1012.00|Over 1 month, up to and including 3 months
37-1012.00|Over 1 year, up to and including 2 years
37-1012.00|Over 2 years, up to and including 4 years
37-1012.00|Over 4 years, up to and including 6 years
37-1012.00|Over 6 years, up to and including 8 years
37-1012.00|Up to and including 1 month
37-2011.00|None
37-2011.00|Over 6 months, up to and including 1 year
37-2012.00|None
37-2012.00|Over 1 month, up to and including 3 months
37-2012.00|Over 1 year, up to and including 2 years
37-2012.00|Over 2 years, up to and including 4 years
37-2012.00|Over 3 months, up to and including 6 months
37-2012.00|Over 6 months, up to and including 1 year
37-2012.00|Up to and including 1 month
37-2021.00|None
37-2021.00|Over 1 month, up to and including 3 months
37-2021.00|Over 6 months, up to and including 1 year
37-2021.00|Up to and including 1 month
37-3011.00|None
37-3011.00|Over 1 month, up to and including 3 months
37-3011.00|Over 1 year, up to and including 2 years
37-3011.00|Over 6 months, up to and including 1 year
37-3012.00|None
37-3012.00|Over 2 years, up to and including 4 years
37-3012.00|Over 6 months, up to and including 1 year
37-3012.00|Up to and including 1 month
37-3013.00|None
37-3013.00|Over 1 year, up to and including 2 years
37-3013.00|Over 10 years
37-3013.00|Over 2 years, up to and including 4 years
37-3013.00|Over 6 months, up to and including 1 year
37-3013.00|Over 8 years, up to and including 10 years
37-3013.00|Up to and including 1 month
39-1013.00|None
39-1013.00|Over 1 month, up to and including 3 months
39-1013.00|Over 1 year, up to and including 2 years
39-1013.00|Over 2 years, up to and including 4 years
39-1013.00|Over 4 years, up to and including 6 years
39-1013.00|Over 6 months, up to and including 1 year
39-1013.00|Over 8 years, up to and including 10 years
39-1013.00|Up to and including 1 month
39-1022.00|None
39-1022.00|Over 1 year, up to and including 2 years
39-1022.00|Over 2 years, up to and including 4 years
39-1022.00|Over 6 months, up to and including 1 year
39-2011.00|None
39-2011.00|Over 1 year, up to and including 2 years
39-2011.00|Over 10 years
39-2011.00|Over 2 years, up to and including 4 years
39-2011.00|Over 3 months, up to and including 6 months
39-2011.00|Over 4 years, up to and including 6 years
39-2011.00|Over 6 months, up to and including 1 year
39-2021.00|None
39-2021.00|Over 1 month, up to and including 3 months
39-2021.00|Over 1 year, up to and including 2 years
39-2021.00|Over 2 years, up to and including 4 years
39-2021.00|Over 3 months, up to and including 6 months
39-2021.00|Up to and including 1 month
39-3011.00|None
39-3011.00|Over 1 year, up to and including 2 years
39-3011.00|Over 10 years
39-3011.00|Over 2 years, up to and including 4 years
39-3011.00|Over 6 months, up to and including 1 year
39-3011.00|Up to and including 1 month
39-3012.00|None
39-3012.00|Over 1 month, up to and including 3 months
39-3012.00|Over 1 year, up to and including 2 years
39-3012.00|Over 3 months, up to and including 6 months
39-3012.00|Up to and including 1 month
39-3021.00|None
39-3021.00|Over 1 month, up to and including 3 months
39-3021.00|Over 1 year, up to and including 2 years
39-3021.00|Over 3 months, up to and including 6 months
39-3021.00|Over 6 months, up to and including 1 year
39-3021.00|Up to and including 1 month
39-3031.00|None
39-3031.00|Over 1 year, up to and including 2 years
39-3031.00|Over 6 months, up to and including 1 year
39-3091.00|None
39-3092.00|None
39-3092.00|Over 1 year, up to and including 2 years
39-3092.00|Over 2 years, up to and including 4 years
39-3092.00|Over 4 years, up to and including 6 years
39-3092.00|Over 6 months, up to and including 1 year
39-3093.00|None
39-3093.00|Over 1 month, up to and including 3 months
39-3093.00|Over 1 year, up to and including 2 years
39-3093.00|Over 3 months, up to and including 6 months
39-3093.00|Over 6 months, up to and including 1 year
39-3093.00|Up to and including 1 month
39-4011.00|Over 1 year, up to and including 2 years
39-4011.00|Over 2 years, up to and including 4 years
39-4011.00|Over 6 months, up to and including 1 year
39-4021.00|None
39-4021.00|Over 1 month, up to and including 3 months
39-4021.00|Over 1 year, up to and including 2 years
39-4021.00|Over 2 years, up to and including 4 years
39-4021.00|Over 6 months, up to and including 1 year
39-4021.00|Up to and including 1 month
39-4031.00|None
39-4031.00|Over 1 month, up to and including 3 months
39-4031.00|Over 1 year, up to and including 2 years
39-4031.00|Over 10 years
39-4031.00|Over 3 months, up to and including 6 months
39-4031.00|Over 4 years, up to and including 6 years
39-4031.00|Over 6 months, up to and including 1 year
39-5011.00|Over 2 years, up to and including 4 years
39-5011.00|Over 6 months, up to and including 1 year
39-5011.00|Over 6 years, up to and including 8 years
39-5011.00|Up to and including 1 month
39-5012.00|None
39-5012.00|Over 1 month, up to and including 3 months
39-5012.00|Over 1 year, up to and including 2 years
39-5012.00|Over 6 months, up to and including 1 year
39-5092.00|Over 3 months, up to and including 6 months
39-5093.00|None
39-5093.00|Over 1 month, up to and including 3 months
39-5094.00|None
39-5094.00|Over 6 months, up to and including 1 year
39-6011.00|None
39-6011.00|Over 1 month, up to and including 3 months
39-6011.00|Over 1 year, up to and including 2 years
39-6011.00|Over 2 years, up to and including 4 years
39-6011.00|Over 6 months, up to and including 1 year
39-6011.00|Up to and including 1 month
39-7011.00|None
39-7011.00|Over 1 year, up to and including 2 years
39-7011.00|Over 2 years, up to and including 4 years
39-7011.00|Over 3 months, up to and including 6 months
39-7011.00|Over 4 years, up to and including 6 years
39-7012.00|None
39-7012.00|Over 1 year, up to and including 2 years
39-7012.00|Over 10 years
39-7012.00|Over 6 months, up to and including 1 year
39-7012.00|Up to and including 1 month
39-9011.00|None
39-9011.00|Over 1 year, up to and including 2 years
39-9011.00|Over 2 years, up to and including 4 years
39-9011.00|Over 6 months, up to and including 1 year
39-9011.00|Up to and including 1 month
39-9032.00|Over 1 year, up to and including 2 years
39-9032.00|Over 2 years, up to and including 4 years
39-9032.00|Over 3 months, up to and including 6 months
39-9032.00|Over 4 years, up to and including 6 years
39-9032.00|Over 6 months, up to and including 1 year
39-9032.00|Up to and including 1 month
39-9041.00|None
39-9041.00|Over 1 year, up to and including 2 years
39-9041.00|Up to and including 1 month
41-1011.00|None
41-1011.00|Over 2 years, up to and including 4 years
41-1011.00|Over 4 years, up to and including 6 years
41-1011.00|Over 6 months, up to and including 1 year
41-1012.00|None
41-1012.00|Over 1 year, up to and including 2 years
41-1012.00|Over 2 years, up to and including 4 years
41-1012.00|Over 4 years, up to and including 6 years
41-1012.00|Over 6 months, up to and including 1 year
41-1012.00|Over 6 years, up to and including 8 years
41-1012.00|Up to and including 1 month
41-2011.00|None
41-2011.00|Over 1 month, up to and including 3 months
41-2011.00|Over 6 months, up to and including 1 year
41-2011.00|Up to and including 1 month
41-2012.00|None
41-2012.00|Over 1 year, up to and including 2 years
41-2012.00|Over 2 years, up to and including 4 years
41-2012.00|Over 6 months, up to and including 1 year
41-2021.00|None
41-2021.00|Over 1 year, up to and including 2 years
41-2021.00|Over 2 years, up to and including 4 years
41-2021.00|Over 3 months, up to and including 6 months
41-2021.00|Over 6 months, up to and including 1 year
41-2021.00|Up to and including 1 month
41-2022.00|Over 1 month, up to and including 3 months
41-2022.00|Over 1 year, up to and including 2 years
41-2022.00|Over 2 years, up to and including 4 years
41-2022.00|Over 6 months, up to and including 1 year
41-2031.00|None
41-2031.00|Over 1 year, up to and including 2 years
41-2031.00|Over 2 years, up to and including 4 years
41-2031.00|Over 6 months, up to and including 1 year
41-2031.00|Over 8 years, up to and including 10 years
41-3011.00|None
41-3011.00|Over 1 year, up to and including 2 years
41-3011.00|Over 10 years
41-3011.00|Over 2 years, up to and including 4 years
41-3011.00|Over 4 years, up to and including 6 years
41-3021.00|None
41-3021.00|Over 1 month, up to and including 3 months
41-3021.00|Over 1 year, up to and including 2 years
41-3021.00|Over 2 years, up to and including 4 years
41-3021.00|Over 4 years, up to and including 6 years
41-3021.00|Up to and including 1 month
41-3031.00|None
41-3031.00|Over 1 year, up to and including 2 years
41-3031.00|Over 10 years
41-3031.00|Over 2 years, up to and including 4 years
41-3031.00|Over 4 years, up to and including 6 years
41-3031.00|Over 6 months, up to and including 1 year
41-3041.00|None
41-3041.00|Over 2 years, up to and including 4 years
41-3041.00|Over 3 months, up to and including 6 months
41-3041.00|Over 8 years, up to and including 10 years
41-3041.00|Up to and including 1 month
41-4011.00|Over 1 year, up to and including 2 years
41-4011.00|Over 2 years, up to and including 4 years
41-4011.00|Over 4 years, up to and including 6 years
41-4011.00|Over 6 months, up to and including 1 year
41-4011.07|None
41-4011.07|Over 1 month, up to and including 3 months
41-4011.07|Over 1 year, up to and including 2 years
41-4011.07|Over 2 years, up to and including 4 years
41-4011.07|Over 4 years, up to and including 6 years
41-4011.07|Over 6 months, up to and including 1 year
41-4012.00|Over 1 year, up to and including 2 years
41-4012.00|Over 6 months, up to and including 1 year
41-9011.00|Over 6 months, up to and including 1 year
41-9011.00|Up to and including 1 month
41-9012.00|Over 1 month, up to and including 3 months
41-9021.00|None
41-9021.00|Over 1 month, up to and including 3 months
41-9021.00|Over 1 year, up to and including 2 years
41-9021.00|Over 2 years, up to and including 4 years
41-9021.00|Over 4 years, up to and including 6 years
41-9031.00|Over 1 year, up to and including 2 years
41-9031.00|Over 10 years
41-9031.00|Over 2 years, up to and including 4 years
41-9031.00|Over 4 years, up to and including 6 years
41-9041.00|None
41-9041.00|Over 1 month, up to and including 3 months
41-9041.00|Over 1 year, up to and including 2 years
43-1011.00|None
43-1011.00|Over 1 year, up to and including 2 years
43-1011.00|Over 10 years
43-1011.00|Over 2 years, up to and including 4 years
43-1011.00|Over 4 years, up to and including 6 years
43-2011.00|None
43-2011.00|Over 1 year, up to and including 2 years
43-2011.00|Over 3 months, up to and including 6 months
43-3011.00|Over 1 year, up to and including 2 years
43-3011.00|Over 2 years, up to and including 4 years
43-3011.00|Over 6 months, up to and including 1 year
43-3021.00|Over 1 year, up to and including 2 years
43-3021.00|Over 2 years, up to and including 4 years
43-3021.00|Over 4 years, up to and including 6 years
43-3021.00|Over 6 months, up to and including 1 year
43-3031.00|Over 1 month, up to and including 3 months
43-3031.00|Over 1 year, up to and including 2 years
43-3031.00|Over 2 years, up to and including 4 years
43-3031.00|Over 3 months, up to and including 6 months
43-3031.00|Over 4 years, up to and including 6 years
43-3031.00|Over 6 months, up to and including 1 year
43-3041.00|None
43-3041.00|Over 1 month, up to and including 3 months
43-3041.00|Over 1 year, up to and including 2 years
43-3041.00|Over 3 months, up to and including 6 months
43-3041.00|Over 6 months, up to and including 1 year
43-3041.00|Up to and including 1 month
43-3051.00|Over 1 year, up to and including 2 years
43-3051.00|Over 6 months, up to and including 1 year
43-3061.00|None
43-3061.00|Over 1 year, up to and including 2 years
43-3061.00|Over 10 years
43-3061.00|Over 2 years, up to and including 4 years
43-3061.00|Over 3 months, up to and including 6 months
43-3061.00|Over 4 years, up to and including 6 years
43-3061.00|Over 6 months, up to and including 1 year
43-3071.00|None
43-3071.00|Over 1 month, up to and including 3 months
43-3071.00|Over 1 year, up to and including 2 years
43-3071.00|Over 6 months, up to and including 1 year
43-3071.00|Up to and including 1 month
43-4011.00|None
43-4011.00|Over 1 year, up to and including 2 years
43-4011.00|Over 10 years
43-4011.00|Over 2 years, up to and including 4 years
43-4011.00|Over 3 months, up to and including 6 months
43-4021.00|None
43-4021.00|Over 1 year, up to and including 2 years
43-4021.00|Over 2 years, up to and including 4 years
43-4021.00|Over 4 years, up to and including 6 years
43-4021.00|Over 6 months, up to and including 1 year
43-4031.00|None
43-4031.00|Over 1 year, up to and including 2 years
43-4031.00|Over 2 years, up to and including 4 years
43-4031.00|Over 4 years, up to and including 6 years
43-4031.00|Over 6 months, up to and including 1 year
43-4051.00|None
43-4051.00|Over 1 month, up to and including 3 months
43-4051.00|Over 1 year, up to and including 2 years
43-4051.00|Over 2 years, up to and including 4 years
43-4051.00|Over 4 years, up to and including 6 years
43-4051.00|Over 6 months, up to and including 1 year
43-4061.00|None
43-4061.00|Over 1 month, up to and including 3 months
43-4061.00|Over 1 year, up to and including 2 years
43-4061.00|Over 2 years, up to and including 4 years
43-4061.00|Over 6 months, up to and including 1 year
43-4071.00|None
43-4071.00|Over 1 year, up to and including 2 years
43-4071.00|Over 6 months, up to and including 1 year
43-4081.00|None
43-4081.00|Over 1 year, up to and including 2 years
43-4081.00|Over 2 years, up to and including 4 years
43-4081.00|Over 3 months, up to and including 6 months
43-4081.00|Over 6 months, up to and including 1 year
43-4111.00|Over 1 month, up to and including 3 months
43-4111.00|Over 1 year, up to and including 2 years
43-4111.00|Up to and including 1 month
43-4121.00|None
43-4121.00|Over 1 month, up to and including 3 months
43-4121.00|Over 1 year, up to and including 2 years
43-4121.00|Over 2 years, up to and including 4 years
43-4121.00|Over 3 months, up to and including 6 months
43-4121.00|Up to and including 1 month
43-4131.00|None
43-4131.00|Over 1 year, up to and including 2 years
43-4131.00|Over 2 years, up to and including 4 years
43-4131.00|Over 4 years, up to and including 6 years
43-4131.00|Over 6 months, up to and including 1 year
43-4131.00|Over 6 years, up to and including 8 years
43-4141.00|None
43-4141.00|Over 1 year, up to and including 2 years
43-4141.00|Over 2 years, up to and including 4 years
43-4141.00|Over 4 years, up to and including 6 years
43-4141.00|Over 6 months, up to and including 1 year
43-4151.00|Over 1 year, up to and including 2 years
43-4151.00|Over 2 years, up to and including 4 years
43-4151.00|Over 6 months, up to and including 1 year
43-4161.00|Over 1 year, up to and including 2 years
43-4161.00|Over 2 years, up to and including 4 years
43-4161.00|Over 3 months, up to and including 6 months
43-4161.00|Over 4 years, up to and including 6 years
43-4161.00|Over 6 months, up to and including 1 year
43-4171.00|None
43-4171.00|Over 1 year, up to and including 2 years
43-4171.00|Over 2 years, up to and including 4 years
43-4171.00|Over 3 months, up to and including 6 months
43-4171.00|Over 6 months, up to and including 1 year
43-4171.00|Up to and including 1 month
43-4181.00|None
43-4181.00|Over 1 year, up to and including 2 years
43-4181.00|Over 2 years, up to and including 4 years
43-4181.00|Over 6 months, up to and including 1 year
43-5011.00|Over 1 year, up to and including 2 years
43-5011.00|Over 4 years, up to and including 6 years
43-5011.00|Over 6 months, up to and including 1 year
43-5011.01|None
43-5011.01|Over 1 year, up to and including 2 years
43-5011.01|Over 10 years
43-5011.01|Over 2 years, up to and including 4 years
43-5011.01|Over 3 months, up to and including 6 months
43-5011.01|Over 4 years, up to and including 6 years
43-5011.01|Over 6 months, up to and including 1 year
43-5021.00|None
43-5021.00|Over 2 years, up to and including 4 years
43-5021.00|Over 3 months, up to and including 6 months
43-5021.00|Over 6 months, up to and including 1 year
43-5031.00|None
43-5031.00|Over 1 year, up to and including 2 years
43-5031.00|Over 2 years, up to and including 4 years
43-5031.00|Over 3 months, up to and including 6 months
43-5031.00|Over 6 months, up to and including 1 year
43-5032.00|None
43-5032.00|Over 1 year, up to and including 2 years
43-5032.00|Over 2 years, up to and including 4 years
43-5032.00|Over 4 years, up to and including 6 years
43-5041.00|None
43-5041.00|Over 1 month, up to and including 3 months
43-5041.00|Over 1 year, up to and including 2 years
43-5041.00|Over 2 years, up to and including 4 years
43-5041.00|Over 6 months, up to and including 1 year
43-5051.00|None
43-5051.00|Over 1 year, up to and including 2 years
43-5051.00|Over 10 years
43-5051.00|Over 2 years, up to and including 4 years
43-5051.00|Over 6 months, up to and including 1 year
43-5051.00|Up to and including 1 month
43-5052.00|None
43-5052.00|Over 3 months, up to and including 6 months
43-5052.00|Up to and including 1 month
43-5053.00|None
43-5053.00|Over 1 month, up to and including 3 months
43-5053.00|Over 6 months, up to and including 1 year
43-5053.00|Up to and including 1 month
43-5061.00|None
43-5061.00|Over 1 year, up to and including 2 years
43-5061.00|Over 10 years
43-5061.00|Over 3 months, up to and including 6 months
43-5061.00|Over 6 months, up to and including 1 year
43-5061.00|Over 6 years, up to and including 8 years
43-5061.00|Up to and including 1 month
43-5071.00|None
43-5071.00|Over 1 month, up to and including 3 months
43-5071.00|Over 2 years, up to and including 4 years
43-5071.00|Over 3 months, up to and including 6 months
43-5071.00|Over 6 months, up to and including 1 year
43-5071.00|Up to and including 1 month
43-5111.00|None
43-5111.00|Over 1 month, up to and including 3 months
43-5111.00|Over 1 year, up to and including 2 years
43-5111.00|Over 2 years, up to and including 4 years
43-5111.00|Over 3 months, up to and including 6 months
43-5111.00|Over 6 months, up to and including 1 year
43-5111.00|Up to and including 1 month
43-6011.00|None
43-6011.00|Over 1 year, up to and including 2 years
43-6011.00|Over 2 years, up to and including 4 years
43-6011.00|Over 4 years, up to and including 6 years
43-6011.00|Over 6 years, up to and including 8 years
43-6012.00|Over 1 year, up to and including 2 years
43-6012.00|Over 2 years, up to and including 4 years
43-6012.00|Over 3 months, up to and including 6 months
43-6012.00|Over 4 years, up to and including 6 years
43-6012.00|Over 6 months, up to and including 1 year
43-6013.00|Over 1 year, up to and including 2 years
43-6013.00|Over 2 years, up to and including 4 years
43-6013.00|Over 3 months, up to and including 6 months
43-6013.00|Over 6 months, up to and including 1 year
43-6014.00|None
43-6014.00|Over 1 year, up to and including 2 years
43-6014.00|Over 2 years, up to and including 4 years
43-6014.00|Over 3 months, up to and including 6 months
43-6014.00|Over 6 months, up to and including 1 year
43-9021.00|None
43-9021.00|Over 1 year, up to and including 2 years
43-9021.00|Over 6 months, up to and including 1 year
43-9022.00|Over 1 month, up to and including 3 months
43-9022.00|Over 1 year, up to and including 2 years
43-9022.00|Over 2 years, up to and including 4 years
43-9022.00|Over 4 years, up to and including 6 years
43-9031.00|None
43-9031.00|Over 1 month, up to and including 3 months
43-9031.00|Over 1 year, up to and including 2 years
43-9031.00|Over 2 years, up to and including 4 years
43-9031.00|Over 6 months, up to and including 1 year
43-9031.00|Over 6 years, up to and including 8 years
43-9031.00|Over 8 years, up to and including 10 years
43-9041.00|None
43-9041.00|Over 1 year, up to and including 2 years
43-9041.00|Over 2 years, up to and including 4 years
43-9041.00|Over 3 months, up to and including 6 months
43-9041.00|Over 4 years, up to and including 6 years
43-9041.00|Over 6 months, up to and including 1 year
43-9051.00|None
43-9061.00|None
43-9061.00|Over 1 year, up to and including 2 years
43-9061.00|Over 2 years, up to and including 4 years
43-9061.00|Over 3 months, up to and including 6 months
43-9061.00|Over 6 months, up to and including 1 year
43-9071.00|None
43-9071.00|Over 1 year, up to and including 2 years
43-9071.00|Over 2 years, up to and including 4 years
43-9071.00|Over 4 years, up to and including 6 years
43-9071.00|Over 6 months, up to and including 1 year
43-9071.00|Up to and including 1 month
43-9081.00|Over 1 year, up to and including 2 years
43-9081.00|Over 2 years, up to and including 4 years
43-9081.00|Over 6 months, up to and including 1 year
43-9111.00|None
43-9111.00|Over 1 year, up to and including 2 years
43-9111.00|Over 10 years
43-9111.00|Over 2 years, up to and including 4 years
43-9111.00|Over 4 years, up to and including 6 years
43-9111.00|Over 6 months, up to and including 1 year
45-1011.00|None
45-1011.00|Over 1 year, up to and including 2 years
45-1011.00|Over 10 years
45-1011.00|Over 2 years, up to and including 4 years
45-1011.00|Over 4 years, up to and including 6 years
45-1011.00|Over 6 months, up to and including 1 year
45-2011.00|None
45-2011.00|Over 1 year, up to and including 2 years
45-2011.00|Over 10 years
45-2011.00|Over 2 years, up to and including 4 years
45-2011.00|Over 3 months, up to and including 6 months
45-2011.00|Over 6 months, up to and including 1 year
45-2011.00|Over 6 years, up to and including 8 years
45-2021.00|None
45-2021.00|Over 1 year, up to and including 2 years
45-2021.00|Over 3 months, up to and including 6 months
45-2021.00|Over 6 months, up to and including 1 year
45-2041.00|None
45-2041.00|Over 2 years, up to and including 4 years
45-2041.00|Up to and including 1 month
45-2091.00|None
45-2091.00|Over 1 month, up to and including 3 months
45-2091.00|Over 1 year, up to and including 2 years
45-2091.00|Over 4 years, up to and including 6 years
45-2091.00|Over 6 months, up to and including 1 year
45-2091.00|Up to and including 1 month
45-2092.00|None
45-2092.00|Over 1 year, up to and including 2 years
45-2092.00|Over 2 years, up to and including 4 years
45-2092.00|Over 3 months, up to and including 6 months
45-2092.00|Up to and including 1 month
45-2093.00|None
45-2093.00|Over 1 year, up to and including 2 years
45-2093.00|Over 2 years, up to and including 4 years
45-2093.00|Over 6 months, up to and including 1 year
45-4011.00|Over 1 year, up to and including 2 years
45-4011.00|Over 2 years, up to and including 4 years
45-4011.00|Over 4 years, up to and including 6 years
45-4011.00|Over 6 years, up to and including 8 years
45-4021.00|None
45-4021.00|Over 2 years, up to and including 4 years
45-4021.00|Over 6 months, up to and including 1 year
45-4022.00|None
45-4022.00|Over 1 year, up to and including 2 years
45-4022.00|Over 3 months, up to and including 6 months
45-4022.00|Over 6 months, up to and including 1 year
45-4023.00|None
45-4023.00|Over 1 month, up to and including 3 months
45-4023.00|Over 1 year, up to and including 2 years
45-4023.00|Over 2 years, up to and including 4 years
45-4023.00|Over 3 months, up to and including 6 months
45-4023.00|Over 4 years, up to and including 6 years
47-1011.00|Over 1 year, up to and including 2 years
47-1011.00|Over 10 years
47-1011.00|Over 2 years, up to and including 4 years
47-1011.00|Over 4 years, up to and including 6 years
47-1011.00|Over 6 months, up to and including 1 year
47-1011.00|Over 6 years, up to and including 8 years
47-1011.00|Over 8 years, up to and including 10 years
47-1011.03|Over 1 year, up to and including 2 years
47-1011.03|Over 2 years, up to and including 4 years
47-1011.03|Over 4 years, up to and including 6 years
47-1011.03|Over 6 months, up to and including 1 year
47-1011.03|Over 8 years, up to and including 10 years
47-2011.00|None
47-2011.00|Over 1 year, up to and including 2 years
47-2011.00|Over 2 years, up to and including 4 years
47-2011.00|Over 4 years, up to and including 6 years
47-2011.00|Over 6 months, up to and including 1 year
47-2021.00|None
47-2021.00|Over 1 month, up to and including 3 months
47-2021.00|Over 1 year, up to and including 2 years
47-2021.00|Over 10 years
47-2021.00|Over 2 years, up to and including 4 years
47-2021.00|Over 6 months, up to and including 1 year
47-2022.00|Over 1 year, up to and including 2 years
47-2022.00|Over 2 years, up to and including 4 years
47-2022.00|Over 4 years, up to and including 6 years
47-2031.00|None
47-2031.00|Over 1 year, up to and including 2 years
47-2031.00|Over 10 years
47-2031.00|Over 2 years, up to and including 4 years
47-2031.00|Over 4 years, up to and including 6 years
47-2031.00|Over 6 years, up to and including 8 years
47-2031.00|Over 8 years, up to and including 10 years
47-2031.00|Up to and including 1 month
47-2041.00|None
