
OccupationCode|ExperienceLevel
17-2199.05|Over 4 years, up to and including 6 years
17-2199.06|Over 1 year, up to and including 2 years
17-2199.06|Over 10 years
17-2199.06|Over 2 years, up to and including 4 years
17-2199.06|Over 4 years, up to and including 6 years
17-2199.06|Over 6 years, up to and including 8 years
17-2199.10|Over 1 year, up to and including 2 years
17-2199.10|Over 10 years
17-2199.10|Over 2 years, up to and including 4 years
17-2199.10|Over 4 years, up to and including 6 years
17-2199.10|Over 6 months, up to and including 1 year
17-2199.10|Over 8 years, up to and including 10 years
17-3012.00|None
17-3012.00|Over 1 year, up to and including 2 years
17-3012.00|Over 10 years
17-3012.00|Over 2 years, up to and including 4 years
17-3013.00|None
17-3013.00|Over 1 year, up to and including 2 years
17-3013.00|Over 10 years
17-3013.00|Over 2 years, up to and including 4 years
17-3013.00|Over 6 months, up to and including 1 year
17-3013.00|Over 8 years, up to and including 10 years
17-3013.00|Up to and including 1 month
17-3021.00|None
17-3021.00|Over 1 year, up to and including 2 years
17-3021.00|Over 2 years, up to and including 4 years
17-3021.00|Over 4 years, up to and including 6 years
17-3022.00|Over 10 years
17-3022.00|Over 2 years, up to and including 4 years
17-3022.00|Over 4 years, up to and including 6 years
17-3022.00|Over 6 months, up to and including 1 year
17-3022.00|Over 6 years, up to and including 8 years
17-3022.00|Over 8 years, up to and including 10 years
17-3024.00|Over 1 year, up to and including 2 years
17-3024.00|Over 10 years
17-3024.00|Over 2 years, up to and including 4 years
17-3024.00|Over 4 years, up to and including 6 years
17-3024.00|Over 6 months, up to and including 1 year
17-3024.00|Over 6 years, up to and including 8 years
17-3025.00|None
17-3025.00|Over 1 year, up to and including 2 years
17-3025.00|Over 2 years, up to and including 4 years
17-3025.00|Over 4 years, up to and including 6 years
17-3025.00|Over 6 months, up to and including 1 year
17-3025.00|Over 8 years, up to and including 10 years
17-3026.00|Over 1 year, up to and including 2 years
17-3026.00|Over 10 years
17-3026.00|Over 2 years, up to and including 4 years
17-3026.00|Over 3 months, up to and including 6 months
17-3026.00|Over 6 months, up to and including 1 year
17-3026.00|Over 6 years, up to and including 8 years
17-3027.00|Over 1 year, up to and including 2 years
17-3027.00|Over 2 years, up to and including 4 years
17-3027.00|Over 3 months, up to and including 6 months
17-3027.00|Over 4 years, up to and including 6 years
17-3027.00|Over 6 years, up to and including 8 years
19-1023.00|Over 1 year, up to and including 2 years
19-1023.00|Over 2 years, up to and including 4 years
19-1023.00|Over 4 years, up to and including 6 years
19-1023.00|Over 6 months, up to and including 1 year
19-1023.00|Over 6 years, up to and including 8 years
19-1029.01|Over 10 years
19-1029.01|Over 4 years, up to and including 6 years
19-1029.01|Over 6 years, up to and including 8 years
19-1029.04|Over 1 year, up to and including 2 years
19-1029.04|Over 10 years
19-1029.04|Over 6 years, up to and including 8 years
19-1031.02|Over 1 year, up to and including 2 years
19-1031.02|Over 2 years, up to and including 4 years
19-1031.02|Over 4 years, up to and including 6 years
19-1031.02|Over 6 months, up to and including 1 year
19-1031.03|Over 2 years, up to and including 4 years
19-1031.03|Over 3 months, up to and including 6 months
19-1031.03|Over 4 years, up to and including 6 years
19-1031.03|Over 6 months, up to and including 1 year
19-1031.03|Over 8 years, up to and including 10 years
19-1032.00|Over 1 year, up to and including 2 years
19-1032.00|Over 10 years
19-1032.00|Over 2 years, up to and including 4 years
19-1032.00|Over 4 years, up to and including 6 years
19-1032.00|Over 6 months, up to and including 1 year
19-1032.00|Over 6 years, up to and including 8 years
19-1042.00|Over 10 years
19-1042.00|Over 2 years, up to and including 4 years
19-1042.00|Over 4 years, up to and including 6 years
19-1042.00|Over 6 years, up to and including 8 years
19-2012.00|None
19-2012.00|Over 1 year, up to and including 2 years
19-2012.00|Over 10 years
19-2012.00|Over 2 years, up to and including 4 years
19-2012.00|Over 4 years, up to and including 6 years
19-2012.00|Over 6 years, up to and including 8 years
19-2031.00|None
19-2031.00|Over 1 year, up to and including 2 years
19-2031.00|Over 10 years
19-2031.00|Over 2 years, up to and including 4 years
19-2031.00|Over 4 years, up to and including 6 years
19-2031.00|Over 6 months, up to and including 1 year
19-2031.00|Over 6 years, up to and including 8 years
19-2041.00|None
19-2041.00|Over 1 year, up to and including 2 years
19-2041.00|Over 10 years
19-2041.00|Over 2 years, up to and including 4 years
19-2041.00|Over 3 months, up to and including 6 months
19-2041.00|Over 4 years, up to and including 6 years
19-2041.00|Over 6 months, up to and including 1 year
19-2041.00|Over 6 years, up to and including 8 years
19-2041.00|Over 8 years, up to and including 10 years
19-3032.00|Over 1 year, up to and including 2 years
19-3032.00|Over 10 years
19-3032.00|Over 4 years, up to and including 6 years
19-3032.00|Over 6 months, up to and including 1 year
19-3032.00|Over 8 years, up to and including 10 years
19-3033.00|Over 1 year, up to and including 2 years
19-3033.00|Over 10 years
19-3033.00|Over 2 years, up to and including 4 years
19-3033.00|Over 4 years, up to and including 6 years
19-3033.00|Over 6 months, up to and including 1 year
19-3033.00|Over 6 years, up to and including 8 years
19-3034.00|Over 2 years, up to and including 4 years
19-3034.00|Over 6 months, up to and including 1 year
19-3093.00|None
19-3093.00|Over 1 year, up to and including 2 years
19-3093.00|Over 2 years, up to and including 4 years
19-3093.00|Over 3 months, up to and including 6 months
19-3093.00|Over 4 years, up to and including 6 years
19-3093.00|Over 6 months, up to and including 1 year
19-3093.00|Over 6 years, up to and including 8 years
19-3093.00|Up to and including 1 month
19-4012.00|Over 1 year, up to and including 2 years
19-4012.00|Over 2 years, up to and including 4 years
19-4012.00|Over 4 years, up to and including 6 years
19-4012.00|Over 6 months, up to and including 1 year
19-4012.00|Over 8 years, up to and including 10 years
19-4013.00|None
19-4013.00|Over 1 year, up to and including 2 years
19-4013.00|Over 10 years
19-4013.00|Over 3 months, up to and including 6 months
19-4013.00|Over 6 months, up to and including 1 year
19-4013.00|Up to and including 1 month
19-4021.00|None
19-4021.00|Over 1 year, up to and including 2 years
19-4021.00|Over 10 years
19-4021.00|Over 2 years, up to and including 4 years
19-4021.00|Over 4 years, up to and including 6 years
19-4021.00|Over 6 months, up to and including 1 year
19-4031.00|None
19-4031.00|Over 1 month, up to and including 3 months
19-4031.00|Over 1 year, up to and including 2 years
19-4031.00|Over 2 years, up to and including 4 years
19-4031.00|Over 6 months, up to and including 1 year
19-4051.02|None
19-4051.02|Over 1 year, up to and including 2 years
19-4051.02|Over 2 years, up to and including 4 years
19-4051.02|Over 6 months, up to and including 1 year
19-4061.00|None
19-4061.00|Over 2 years, up to and including 4 years
19-4061.00|Over 3 months, up to and including 6 months
